,contrast,energy,image_num,rep_n,subject,ns,ed_w,co_w,en_w
0,79.78760526315791,0.04557334048411295,8.0,0.0,D3 R3,500,-3,1,2
0,74.1523947368421,0.04841605737963767,8.0,1.0,D3 R3,500,-3,1,2
0,84.25913157894738,0.04694666036756598,8.0,2.0,D3 R3,500,-3,1,2
0,138.70460526315787,0.03638358469773235,8.0,3.0,D3 R3,500,-3,1,2
0,94.69800000000001,0.04304124962143954,8.0,4.0,D3 R3,500,-3,1,2
1,87.18336842105263,0.046741779759325086,7.0,0.0,D3 R3,500,-3,1,2
1,67.11018421052634,0.055032060663135506,7.0,1.0,D3 R3,500,-3,1,2
1,123.73723684210526,0.03738464251326841,7.0,2.0,D3 R3,500,-3,1,2
1,125.54044736842106,0.0388350086228501,7.0,3.0,D3 R3,500,-3,1,2
1,122.05455263157897,0.04065403234933023,7.0,4.0,D3 R3,500,-3,1,2
2,51.451473684210534,0.057162801475926436,6.0,0.0,D3 R3,500,-3,1,2
2,68.96894736842106,0.05061490657220479,6.0,1.0,D3 R3,500,-3,1,2
2,65.18352631578949,0.0559074255842376,6.0,2.0,D3 R3,500,-3,1,2
2,54.71318421052632,0.053980057490226885,6.0,3.0,D3 R3,500,-3,1,2
2,51.289236842105275,0.05579056292382559,6.0,4.0,D3 R3,500,-3,1,2
3,128.60065789473683,0.038459655264998054,4.0,0.0,D3 R3,500,-3,1,2
3,111.49623684210526,0.04038665271412727,4.0,1.0,D3 R3,500,-3,1,2
3,147.22186842105265,0.035191807234055086,4.0,2.0,D3 R3,500,-3,1,2
3,117.33789473684212,0.04041051037824778,4.0,3.0,D3 R3,500,-3,1,2
3,116.68376315789475,0.038463972062365126,4.0,4.0,D3 R3,500,-3,1,2
4,200.07847368421054,0.031063875083125983,5.0,0.0,D3 R3,500,-3,1,2
4,195.54034210526316,0.031491463249867076,5.0,1.0,D3 R3,500,-3,1,2
4,216.20799999999997,0.031014751650538776,5.0,2.0,D3 R3,500,-3,1,2
4,174.89115789473684,0.03245227158070637,5.0,3.0,D3 R3,500,-3,1,2
4,164.9678157894737,0.03308339584039719,5.0,4.0,D3 R3,500,-3,1,2
5,74.16521052631576,0.04425982527037345,1.0,0.0,D3 R3,500,-3,1,2
5,87.80552631578946,0.04461068512303766,1.0,1.0,D3 R3,500,-3,1,2
5,169.03999999999996,0.03270517485970497,1.0,2.0,D3 R3,500,-3,1,2
5,104.86218421052632,0.041132269246993924,1.0,3.0,D3 R3,500,-3,1,2
5,123.63065789473684,0.03831578947368422,1.0,4.0,D3 R3,500,-3,1,2
6,127.4501842105263,0.03701890379558999,2.0,0.0,D3 R3,500,-3,1,2
6,77.41755263157894,0.04533400208620848,2.0,1.0,D3 R3,500,-3,1,2
6,161.05544736842106,0.034087572572392366,2.0,2.0,D3 R3,500,-3,1,2
6,136.60173684210525,0.03696312360887819,2.0,3.0,D3 R3,500,-3,1,2
6,139.11200000000002,0.03504417967488856,2.0,4.0,D3 R3,500,-3,1,2
7,174.30581578947368,0.03295734042802366,3.0,0.0,D3 R3,500,-3,1,2
7,227.4603684210526,0.028572155585328936,3.0,1.0,D3 R3,500,-3,1,2
7,212.82626315789472,0.02921688527275881,3.0,2.0,D3 R3,500,-3,1,2
7,181.76873684210528,0.03274990748755199,3.0,3.0,D3 R3,500,-3,1,2
7,208.54131578947366,0.029559684212587957,3.0,4.0,D3 R3,500,-3,1,2
8,49.61447368421053,0.055088854189896515,8.0,0.0,D2 R3,500,-3,1,2
8,49.15860526315791,0.06148284223420935,8.0,1.0,D2 R3,500,-3,1,2
8,45.34697368421053,0.061570025781968324,8.0,2.0,D2 R3,500,-3,1,2
8,52.056868421052634,0.057012713020723534,8.0,3.0,D2 R3,500,-3,1,2
8,65.52050000000001,0.04971022331411376,8.0,4.0,D2 R3,500,-3,1,2
9,82.61326315789475,0.04401728208196932,7.0,0.0,D2 R3,500,-3,1,2
9,79.49521052631577,0.04834968639521083,7.0,1.0,D2 R3,500,-3,1,2
9,63.96689473684212,0.05123579797816986,7.0,2.0,D2 R3,500,-3,1,2
9,52.66594736842106,0.05673795282576494,7.0,3.0,D2 R3,500,-3,1,2
9,62.314447368421064,0.05337055559937661,7.0,4.0,D2 R3,500,-3,1,2
10,32.49665789473684,0.07495784364627708,6.0,0.0,D2 R3,500,-3,1,2
10,30.65963157894737,0.06676679605463828,6.0,1.0,D2 R3,500,-3,1,2
10,36.54036842105263,0.06334663410656938,6.0,2.0,D2 R3,500,-3,1,2
10,81.23926315789473,0.04512310032373091,6.0,3.0,D2 R3,500,-3,1,2
10,32.15497368421053,0.07377237911079994,6.0,4.0,D2 R3,500,-3,1,2
11,90.27052631578947,0.045493447216189156,4.0,0.0,D2 R3,500,-3,1,2
11,76.26984210526315,0.05007642358881057,4.0,1.0,D2 R3,500,-3,1,2
11,84.71857894736843,0.04708152886335367,4.0,2.0,D2 R3,500,-3,1,2
