,contrast,energy,image_num,rep_n,subject,ns,ed_w,co_w,en_w
0,75.03389473684211,0.04941837964297694,8.0,0.0,D3 R3,50,0,1,2
0,103.80136842105263,0.04350268642005656,8.0,1.0,D3 R3,50,0,1,2
0,107.61394736842107,0.040532381637634333,8.0,2.0,D3 R3,50,0,1,2
0,49.10597368421055,0.05846452863089929,8.0,3.0,D3 R3,50,0,1,2
0,154.55786842105258,0.03424691384684525,8.0,4.0,D3 R3,50,0,1,2
1,129.02434210526317,0.03903092477309062,7.0,0.0,D3 R3,50,0,1,2
1,130.15384210526315,0.040895672447469895,7.0,1.0,D3 R3,50,0,1,2
1,145.8060263157895,0.03919401365478141,7.0,2.0,D3 R3,50,0,1,2
1,137.86405263157897,0.03804682109674693,7.0,3.0,D3 R3,50,0,1,2
1,154.7677894736842,0.03596470260957282,7.0,4.0,D3 R3,50,0,1,2
2,52.28434210526317,0.055285271264927036,6.0,0.0,D3 R3,50,0,1,2
2,62.193631578947354,0.05109081927709157,6.0,1.0,D3 R3,50,0,1,2
2,138.72984210526317,0.036631701829799954,6.0,2.0,D3 R3,50,0,1,2
2,98.39268421052628,0.04140010672166313,6.0,3.0,D3 R3,50,0,1,2
2,72.13589473684212,0.05062685993984243,6.0,4.0,D3 R3,50,0,1,2
3,130.64344736842102,0.03749715594016575,4.0,0.0,D3 R3,50,0,1,2
3,146.9769473684211,0.03463190889300513,4.0,1.0,D3 R3,50,0,1,2
3,182.4285,0.030839809282242604,4.0,2.0,D3 R3,50,0,1,2
3,158.2258947368421,0.034240351371588776,4.0,3.0,D3 R3,50,0,1,2
3,170.34110526315786,0.032938202861665544,4.0,4.0,D3 R3,50,0,1,2
4,210.1182105263158,0.031887885750198755,5.0,0.0,D3 R3,50,0,1,2
4,254.1244210526315,0.029905055205931414,5.0,1.0,D3 R3,50,0,1,2
4,227.1558421052631,0.02959144706857351,5.0,2.0,D3 R3,50,0,1,2
4,238.72500000000002,0.029148992798438765,5.0,3.0,D3 R3,50,0,1,2
4,202.38226315789467,0.030304879707268622,5.0,4.0,D3 R3,50,0,1,2
5,162.11318421052633,0.03364085923356149,1.0,0.0,D3 R3,50,0,1,2
5,178.99042105263155,0.03171685348539243,1.0,1.0,D3 R3,50,0,1,2
5,119.7021052631579,0.03719162216148645,1.0,2.0,D3 R3,50,0,1,2
5,97.1626842105263,0.03999606542283226,1.0,3.0,D3 R3,50,0,1,2
5,75.98381578947365,0.045313695776561275,1.0,4.0,D3 R3,50,0,1,2
6,185.19802631578946,0.030141195891183418,2.0,0.0,D3 R3,50,0,1,2
6,185.56994736842108,0.030926309743469722,2.0,1.0,D3 R3,50,0,1,2
6,136.0618947368421,0.03633266198436066,2.0,2.0,D3 R3,50,0,1,2
6,105.6107894736842,0.04116007363999562,2.0,3.0,D3 R3,50,0,1,2
6,102.82565789473682,0.03972495901094238,2.0,4.0,D3 R3,50,0,1,2
7,202.86115789473683,0.03135260993257958,3.0,0.0,D3 R3,50,0,1,2
7,214.99563157894738,0.02988202796946464,3.0,1.0,D3 R3,50,0,1,2
7,205.33589473684208,0.02849419195326044,3.0,2.0,D3 R3,50,0,1,2
7,231.3027368421052,0.029216322326821163,3.0,3.0,D3 R3,50,0,1,2
7,231.7055789473684,0.02979898606726609,3.0,4.0,D3 R3,50,0,1,2
8,42.22831578947369,0.06069534749679117,8.0,0.0,D2 R3,50,0,1,2
8,38.17423684210527,0.059315874118465735,8.0,1.0,D2 R3,50,0,1,2
8,51.690421052631585,0.05422185944387417,8.0,2.0,D2 R3,50,0,1,2
8,48.960499999999996,0.056463220078265534,8.0,3.0,D2 R3,50,0,1,2
8,48.09357894736843,0.054655756616315714,8.0,4.0,D2 R3,50,0,1,2
9,56.1152105263158,0.05166062276626501,7.0,0.0,D2 R3,50,0,1,2
